
 LIST ALL SELECTED NODES.   DSYS=      0
 SORT TABLE ON  NODE  NODE  NODE

   NODE        X                   Y                   Z
      55    0.370000000000E-07  0.740000000000E-07   0.00000000000    
      56    0.185000000000E-07  0.740000000000E-07   0.00000000000    
      57    0.185000000000E-07  0.555000000000E-07   0.00000000000    
      58    0.370000000000E-07  0.555000000000E-07   0.00000000000    
      59    0.555000000000E-07  0.555000000000E-07   0.00000000000    
      60    0.185000000000E-07  0.370000000000E-07   0.00000000000    
      61    0.370000000000E-07  0.370000000000E-07   0.00000000000    
      62    0.555000000000E-07  0.370000000000E-07   0.00000000000    
      63    0.185000000000E-07  0.185000000000E-07   0.00000000000    
      64    0.370000000000E-07  0.185000000000E-07   0.00000000000    
      65    0.555000000000E-07  0.185000000000E-07   0.00000000000    
      66    0.420000000000E-07  0.420000000000E-07  0.190000000000E-06
      67    0.420000000000E-07  0.345000000000E-07  0.190000000000E-06
      68    0.420000000000E-07  0.370000000000E-07  0.190000000000E-06
      69    0.420000000000E-07  0.395000000000E-07  0.190000000000E-06
      70    0.460000000000E-07  0.460000000000E-07  0.166250000000E-06
      71    0.500000000000E-07  0.500000000000E-07  0.142500000000E-06
      72    0.540000000000E-07  0.540000000000E-07  0.118750000000E-06
      73    0.580000000000E-07  0.580000000000E-07  0.950000000000E-07
      74    0.620000000000E-07  0.620000000000E-07  0.712500000000E-07
      75    0.660000000000E-07  0.660000000000E-07  0.475000000000E-07
      76    0.700000000000E-07  0.700000000000E-07  0.237500000000E-07
      77    0.700000000000E-07  0.535000000000E-07  0.237500000000E-07
      78    0.660000000000E-07  0.515000000000E-07  0.475000000000E-07
      79    0.620000000000E-07  0.495000000000E-07  0.712500000000E-07
      80    0.580000000000E-07  0.475000000000E-07  0.950000000000E-07
      81    0.540000000000E-07  0.455000000000E-07  0.118750000000E-06
      82    0.500000000000E-07  0.435000000000E-07  0.142500000000E-06
      83    0.460000000000E-07  0.415000000000E-07  0.166250000000E-06
      84    0.700000000000E-07  0.370000000000E-07  0.237500000000E-07
      85    0.660000000000E-07  0.370000000000E-07  0.475000000000E-07
      86    0.620000000000E-07  0.370000000000E-07  0.712500000000E-07
      87    0.580000000000E-07  0.370000000000E-07  0.950000000000E-07
      88    0.540000000000E-07  0.370000000000E-07  0.118750000000E-06
      89    0.500000000000E-07  0.370000000000E-07  0.142500000000E-06
      90    0.460000000000E-07  0.370000000000E-07  0.166250000000E-06
      91    0.700000000000E-07  0.205000000000E-07  0.237500000000E-07
      92    0.660000000000E-07  0.225000000000E-07  0.475000000000E-07
      93    0.620000000000E-07  0.245000000000E-07  0.712500000000E-07
      94    0.580000000000E-07  0.265000000000E-07  0.950000000000E-07
      95    0.540000000000E-07  0.285000000000E-07  0.118750000000E-06
      96    0.500000000000E-07  0.305000000000E-07  0.142500000000E-06
      97    0.460000000000E-07  0.325000000000E-07  0.166250000000E-06
      98    0.320000000000E-07  0.420000000000E-07  0.190000000000E-06
      99    0.395000000000E-07  0.420000000000E-07  0.190000000000E-06
     100    0.370000000000E-07  0.420000000000E-07  0.190000000000E-06
     101    0.345000000000E-07  0.420000000000E-07  0.190000000000E-06
     102    0.320000000000E-07  0.395000000000E-07  0.190000000000E-06
     103    0.320000000000E-07  0.370000000000E-07  0.190000000000E-06
     104    0.320000000000E-07  0.345000000000E-07  0.190000000000E-06
